engines,passenger_capacity,crew,d_check_complete,moon_clearance_complete,iata_approved,company_rating,review_scores_rating,prediction,price
1.0,5,3.0,False,True,False,0.9918648149215454,86.0,2332.145809847938,1816.1519464824944
0.0,5,3.0,True,False,False,0.9564403484996185,98.0,2382.359582201592,3297.7151206109484
0.0,3,2.0,False,False,False,0.9036076618410881,98.0,2249.3838040356577,1329.5638914798653
1.0,5,2.0,True,False,True,1.0,91.0,2321.3753168288454,2066.519355131485
2.0,3,3.0,False,False,True,0.942833050445807,96.0,2578.184158138101,2661.653188312735
1.0,5,1.0,False,False,False,1.0,84.0,2288.1155016272223,1858.7197458043663
2.0,2,1.0,False,True,False,1.0,100.0,2063.112908074414,1387.7583422923374
0.0,1,4.0,False,True,True,0.8840967608190868,93.0,1745.6712887172719,1190.741711988291
2.0,1,3.0,False,True,False,0.9706071847546,93.0,2092.3043496774117,2563.920366773216
0.0,1,3.0,False,False,False,1.0,91.0,1661.6785074786012,1760.5682355960355
1.0,6,3.0,False,False,False,0.8833289490853689,78.0,2408.4699708163184,3193.6941621674164
1.0,6,4.0,True,True,True,1.0,100.0,2703.4851083173157,1811.724882783586
0.0,5,1.0,True,False,False,0.95523228131704,98.0,2478.0032353058405,1217.688229823949
2.0,5,1.0,False,False,True,1.0,58.0,2692.5342733391785,3727.4677207262775
1.0,3,1.0,False,False,True,1.0,100.0,1951.4202705590574,1293.8656475188416
0.0,5,3.0,True,True,True,0.8569621599149091,100.0,2508.833671739138,2717.1928374371523
3.0,5,1.0,True,True,False,1.0,95.0,3281.5524599864293,3773.7933526850825
2.0,1,1.0,False,False,False,0.963662904755899,98.0,1650.063960085462,1879.776582324642
0.0,5,1.0,True,False,True,0.8520477086898895,80.0,2265.2801979551377,1740.860977955369
2.0,5,3.0,True,False,True,0.9367370795457393,92.0,3368.3675577123067,2176.6996737591594
4.0,10,3.0,False,False,True,1.0,95.0,5154.731940766109,9979.11820118383
2.0,2,3.0,False,True,False,0.6263505516555324,89.0,1861.480073215509,1968.8053181623197
0.0,2,3.0,False,False,False,0.9896507705450815,98.0,2007.472872837832,3429.280363975468
0.0,1,3.0,True,True,True,0.9484487362426346,96.0,1814.1944310111828,1493.815710347618
1.0,5,2.0,False,True,True,0.9411175235447877,100.0,2687.975716601257,1718.5616327614694
0.0,2,1.0,False,True,False,0.9381509822780206,100.0,2080.2616320569277,1435.6769459704694
1.0,3,3.0,True,False,True,1.0,97.0,1728.9276995805499,4248.440140808158
2.0,4,1.0,False,True,False,0.8627950985868833,87.0,2326.160561605275,1786.3617240904357
1.0,6,2.0,True,True,False,0.9942763814100568,91.0,2135.73172562367,1550.821078032719
4.0,11,4.0,True,False,True,1.0,90.0,4212.858720744195,4099.463399665826
2.0,1,1.0,True,False,True,0.9619087664170576,97.0,1609.2229012219955,1951.6670400794728
3.0,8,2.0,True,False,False,1.0,100.0,3786.046153892438,4303.997670635639
0.0,1,3.0,True,True,False,1.0,100.0,1813.8904210271066,1090.36752344428
1.0,4,4.0,True,False,False,0.7310952607083643,99.0,2289.12490750302,2982.015523131803
0.0,1,2.0,False,True,False,1.0,90.0,1652.5190866399846,1832.3716849483726
0.0,3,2.0,False,True,False,0.8749048816743893,83.0,2204.470306164846,2188.497888018584
1.0,1,1.0,False,False,True,0.9591922505485978,83.0,1337.902214999077,3906.828310263732
1.0,4,3.0,True,True,False,0.9072472697454724,91.0,2064.617162287232,1796.496664972939
2.0,3,1.0,False,True,False,1.0,98.0,2026.020190184468,1605.619122639445
1.0,3,2.0,True,True,False,0.9726296238616563,86.0,1791.5921399237168,1192.2029015051758
1.0,2,1.0,False,True,True,1.0,94.0,1693.4172830847233,1851.2815712766935
1.0,1,2.0,True,False,True,1.0,99.0,1424.7054457087593,1780.8994068849095
2.0,5,3.0,False,True,False,0.819890029598241,100.0,3119.5720739941294,1431.4712285080013
0.0,1,4.0,True,False,False,0.9326420244494145,85.0,1696.807001453428,2092.4960884115117
2.0,6,2.0,False,True,True,1.0,83.0,3234.0288041525478,3239.811103335937
